timestamp,value,bandCategory,alphaBetaRatio,state,StandardDeviation,stdDev,signalPower,RMS
30.0,32.0,4.0,145.33506944444446,1,15.326085243430198,15.326085243430198,1024.0,32.0
50.0,45.0,4.0,209.2825,1,14.985326155943353,14.985326155943353,2025.0,45.0
100.0,46.0,4.0,133.9408,1,15.495120697564726,15.495120697564726,2116.0,46.0
120.0,25.0,1.0,7.807534895777217e-05,0,14.220808871462893,14.220808871462893,625.0,25.0
190.0,30.0,4.0,495.3431952662722,1,15.14100392972672,15.14100392972672,900.0,30.0
290.0,45.0,4.0,145.33506944444446,1,15.45335604384211,15.45335604384211,2025.0,45.0
370.0,30.0,4.0,172.96074380165288,1,15.101608978847255,15.101608978847255,900.0,30.0
410.0,32.0,4.0,231.89196675900277,1,15.466250287616054,15.466250287616054,1024.0,32.0
420.0,32.0,4.0,372.0577777777778,1,15.277954544431934,15.277954544431934,1024.0,32.0
440.0,22.0,1.0,289.6643598615917,1,15.208705044850934,15.208705044850934,484.0,22.0
460.0,36.0,4.0,9.447117223890432e-05,0,15.25841980678209,15.25841980678209,1296.0,36.0
480.0,19.0,1.0,6.324103265579545e-05,0,14.960189044120652,14.960189044120652,361.0,19.0
520.0,17.0,1.0,189.82539682539684,1,15.11813562220415,15.11813562220415,289.0,17.0
570.0,9.0,0.0,6.324103265579545e-05,0,15.468849271765064,15.468849271765064,81.0,9.0
630.0,45.0,4.0,427.10714285714283,1,15.428637883527346,15.428637883527346,2025.0,45.0
680.0,32.0,4.0,99.53983353151011,1,15.208877308321998,15.208877308321998,1024.0,32.0
690.0,24.0,1.0,327.00390625,1,15.07508651061594,15.07508651061594,576.0,24.0
720.0,7.0,3.0,99.53983353151011,1,15.254726043645183,15.254726043645183,49.0,7.0
730.0,30.0,4.0,106.77678571428571,1,15.14587316061264,15.14587316061264,900.0,30.0
750.0,46.0,4.0,133.9408,1,15.204427091298221,15.204427091298221,2116.0,46.0
760.0,14.0,1.0,133.9408,1,15.143067720907808,15.143067720907808,196.0,14.0
780.0,37.0,4.0,9.447117223890432e-05,0,15.065025874234946,15.065025874234946,1369.0,37.0
880.0,29.0,1.0,495.3431952662722,1,15.158968727966874,15.158968727966874,841.0,29.0
890.0,28.0,1.0,99.53983353151011,1,15.05794141666835,15.05794141666835,784.0,28.0
930.0,25.0,1.0,0.00011242850249919192,0,14.935494064981137,14.935494064981137,625.0,25.0
940.0,48.0,4.0,172.96074380165288,1,15.049015904185168,15.049015904185168,2304.0,48.0
950.0,11.0,0.0,123.83579881656804,1,15.047678325146608,15.047678325146608,121.0,11.0
1070.0,6.0,3.0,7.807534895777217e-05,0,15.3565072216825,15.3565072216825,36.0,6.0
1100.0,29.0,1.0,495.3431952662722,1,15.243877540479515,15.243877540479515,841.0,29.0
1110.0,47.0,4.0,289.6643598615917,1,15.331706509381009,15.331706509381009,2209.0,47.0
1160.0,22.0,1.0,372.0577777777778,1,15.272940603611357,15.272940603611357,484.0,22.0
1180.0,44.0,4.0,372.0577777777778,1,15.236506551535829,15.236506551535829,1936.0,44.0
1190.0,42.0,4.0,289.6643598615917,1,15.25246718082163,15.25246718082163,1764.0,42.0
1200.0,43.0,4.0,372.0577777777778,1,15.277443021626791,15.277443021626791,1849.0,43.0
1220.0,43.0,4.0,289.6643598615917,1,15.284332581712079,15.284332581712079,1849.0,43.0
1280.0,4.0,3.0,114.8326474622771,1,15.302945339196038,15.302945339196038,16.0,4.0
1330.0,10.0,0.0,189.82539682539684,1,15.291371617790235,15.291371617790235,100.0,10.0
1340.0,30.0,4.0,106.77678571428571,1,15.2278544632164,15.2278544632164,900.0,30.0
1360.0,4.0,3.0,158.2476370510397,1,15.292381833735396,15.292381833735396,16.0,4.0
1410.0,2.0,2.0,372.0577777777778,1,15.229699370347172,15.229699370347172,4.0,2.0
1430.0,35.0,4.0,427.10714285714283,1,15.193703225909196,15.193703225909196,1225.0,35.0
1440.0,15.0,1.0,231.89196675900277,1,15.155516416259923,15.155516416259923,225.0,15.0
1480.0,5.0,3.0,231.89196675900277,1,15.199017284037136,15.199017284037136,25.0,5.0
1490.0,15.0,1.0,9.447117223890432e-05,0,15.160111044476881,15.160111044476881,225.0,15.0
1510.0,17.0,1.0,189.82539682539684,1,15.112078962060634,15.112078962060634,289.0,17.0
1540.0,17.0,1.0,209.2825,1,15.049472253539443,15.049472253539443,289.0,17.0
1550.0,49.0,4.0,372.0577777777778,1,15.149102857190304,15.149102857190304,2401.0,49.0
1570.0,40.0,4.0,289.6643598615917,1,15.19155632987812,15.19155632987812,1600.0,40.0
1590.0,46.0,4.0,7.807534895777217e-05,0,15.192625083690894,15.192625083690894,2116.0,46.0
1630.0,27.0,1.0,189.82539682539684,1,15.17143198530872,15.17143198530872,729.0,27.0
1640.0,36.0,4.0,145.33506944444446,1,15.14550006429008,15.14550006429008,1296.0,36.0
1650.0,21.0,1.0,372.0577777777778,1,15.09248978596333,15.09248978596333,441.0,21.0
1660.0,28.0,1.0,327.00390625,1,15.038981811841516,15.038981811841516,784.0,28.0
1680.0,1.0,2.0,158.2476370510397,1,15.121264087210294,15.121264087210294,1.0,1.0
1690.0,23.0,1.0,133.9408,1,15.066634101793733,15.066634101793733,529.0,23.0
1700.0,30.0,4.0,9.447117223890432e-05,0,15.018821769746012,15.018821769746012,900.0,30.0
1720.0,42.0,4.0,7.807534895777217e-05,0,15.069255090401507,15.069255090401507,1764.0,42.0
1860.0,21.0,1.0,327.00390625,1,14.956005137784633,14.956005137784633,441.0,21.0
1910.0,15.0,1.0,495.3431952662722,1,14.851670457716715,14.851670457716715,225.0,15.0
1920.0,6.0,3.0,7.807534895777217e-05,0,14.879253553037868,14.879253553037868,36.0,6.0
1950.0,36.0,4.0,189.82539682539684,1,14.82518145927473,14.82518145927473,1296.0,36.0
1960.0,10.0,0.0,427.10714285714283,1,14.823835325245623,14.823835325245623,100.0,10.0
